X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
Marquette,358,349,NA,NA,0,NA,NA,NA,9,NA,2.5
Mason,298,274,NA,NA,0,NA,NA,NA,24,NA,8.1
Mecosta,234,232,NA,0,0,0,0,NA,NA,NA,NA
Menominee,175,166,NA,NA,NA,NA,NA,NA,9,NA,5.1
Midland,312,305,NA,NA,0,NA,NA,NA,7,NA,2.2
Missaukee,112,111,0,NA,0,NA,NA,NA,NA,NA,NA
Monroe,807,795,NA,NA,NA,NA,NA,NA,12,NA,1.5
Montcalm,764,750,NA,NA,0,NA,NA,NA,14,NA,1.8
Montmorency,61,61,0,0,0,0,0,NA,0,NA,0
Muskegon,"1,937","1,835",48,45,9,54,2.8,NA,102,NA,5.3
Newaygo,351,346,NA,NA,0,NA,NA,NA,NA,NA,NA
Oakland,"6,971","6,862",49,NA,NA,NA,NA,109,NA,NA,1.6
Oceana,374,365,NA,NA,0,NA,NA,9,NA,NA,2.4
Ogemaw,151,151,0,0,0,NA,NA,0,NA,NA,0
Ontonagon,28,27,0,NA,0,NA,NA,NA,NA,NA,NA
Osceola,243,240,NA,0,0,NA,NA,NA,NA,NA,NA
Oscoda,86,86,0,0,0,NA,NA,0,NA,NA,0
Otsego,248,248,0,0,0,NA,NA,0,NA,NA,0
Ottawa,"1,492","1,455",30,7,0,NA,NA,37,NA,NA,2.5
Presque Isle,83,82,NA,0,0,NA,NA,NA,NA,NA,NA
Roscommon,177,176,NA,0,0,NA,NA,NA,NA,NA,NA
Saginaw,"2,462","2,375",69,NA,NA,NA,NA,87,NA,NA,3.5
Saint Clair,"2,278","2,174",93,NA,NA,NA,NA,104,NA,NA,4.6
Saint Joseph,745,716,NA,NA,0,NA,NA,29,NA,NA,3.9
Sanilac,324,312,NA,NA,0,NA,NA,12,NA,NA,3.7
Schoolcraft,72,72,0,0,0,NA,NA,0,NA,NA,0
Shiawassee,923,875,42,6,0,NA,NA,48,NA,NA,5.2
Tuscola,606,600,NA,NA,0,NA,NA,6,NA,NA,1
Van Buren,587,558,19,10,0,NA,NA,29,NA,NA,4.9
Washtenaw,"1,635","1,609",11,NA,NA,NA,NA,26,NA,NA,1.6
Wayne,"30,764","29,072",347,"1,208",137,NA,NA,"1,692",NA,NA,5.5
Wexford,282,278,NA,NA,0,NA,NA,NA,NA,NA,NA
MICHIGAN,"100,279","96,259","1,880","1,912",228,NA,NA,"4,020",NA,NA,4
